artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
The Four Seasons,Rag Doll,34,39,6,1965,1965,7
Udo Jürgens,"Siebzehn Jahr, blondes Haar",34,40,4,1965,1965,6
The Beatles,Yesterday,28,41,6,1965,1965,6
Peter Alexander,Fräulein Wunderbar,27,42,7,1965,1965,7
Mikis Theodorakis,Zorba Le Grec (Original Filmmusik),27,43,7,1965,1965,7
Manfred Mann,Do Wah Diddy Diddy,25,44,7,1964,1965,5
The McCoys,Hang On Sloopy,24,45,5,1965,1965,4
Ronny,Anja Anja,24,46,4,1965,1965,4
Barry Mcguire,Eve Of Destruction,24,47,6,1965,1965,4
The Beatles,No Reply,24,48,5,1965,1965,4
The Beatles,Eight Days A Week,24,49,5,1965,1965,4
Sounds Orchestral,Cast Your Fate To The Wind,18,50,6,1965,1965,4
Martin Lauer,Taxi nach Texas,18,51,7,1965,1965,4
Peggy March,Good Bye Good Bye Good Bye,16,52,8,1965,1965,6
Ronny,Darling Good Night,16,53,8,1965,1965,4
Margot Eskens,Mama,15,54,9,1964,1965,5
Hans-Jürgen Bäumler,"Sorry, Little Baby",15,55,7,1965,1965,3
Francoise Hardy,Frag' den Abendwind,14,56,7,1965,1965,4
Peter Lauch und die Regenpfeifer,So ein Seemann macht es richtig,14,57,8,1965,1965,4
Wencke Myhre,Sprich nicht drüber,14,58,5,1965,1965,2
The Animals,The House Of The Rising Sun,10,59,10,1964,1965,5
Manuela,Küsse unterm Regenbogen,10,60,7,1965,1965,2
Rita Pavone & Paul Anka,"Kiddy, Kiddy Kiss Me",10,61,7,1965,1965,2
Pierre Brice,Ich steh' allein,9,62,9,1965,1965,3
Freddy (Freddy Quinn),Abschied vom Meer,8,63,8,1965,1965,2
Shirley Bassey,Goldfinger (James Bond Soundtrack),8,64,8,1965,1965,2
Suzie,"Du, du, du gehst vorbei",8,65,8,1964,1965,2
Casey Jones & The Governors,Jack The Ripper,6,66,9,1965,1965,2
Udo Jürgens,Sag ihr ich lass' sie grüßen,6,67,9,1965,1965,2
Siw Malmkvist,Küsse nie nach Mitternacht,6,68,9,1965,1965,2
Corry Brokken,La Mamma,6,69,9,1965,1965,2
The Beach Boys,Help Me Rhonda,4,70,10,1965,1965,2
The Renegades,Cadillac,4,71,10,1965,1965,2
Connie Francis,Du mußt bleiben Angelino,4,72,10,1965,1965,2
Peppino Di Capri,Melancholie,4,73,10,1965,1965,2
Chris Andrews,Yesterday Man,227,1,1,1965,1966,17
Frank Sinatra,Strangers In The Night,195,2,1,1966,1966,18
Nancy Sinatra,These Boots Are Made For Walkin',182,3,1,1966,1966,13
Freddy (Freddy Quinn),Hundert Mann und ein Befehl (The Ballad Of The Green Beret),163,4,1,1966,1966,14
The Troggs,With A Girl Like You,145,5,2,1966,1966,11
The Mamas & The Papas,"Monday, Monday",144,6,2,1966,1966,15
"Dave Dee, Dozy, Beaky, Mick & Tich",Bend It!,144,7,1,1966,1966,8
The Beatles,Yellow Submarine,142,8,1,1966,1966,13
The Beach Boys,Sloop John B.,140,9,1,1966,1966,13
The Beatles,Paperback Writer,138,10,1,1966,1966,11
Roy Black,Ganz in weiß,130,11,1,1966,1966,10
Drafi Deutscher and his Magics,"Marmor, Stein und Eisen bricht",130,12,1,1965,1966,9
Chris Andrews,To Whom It Concerns,124,13,3,1966,1966,15
The Beach Boys,Barbara Ann,113,14,2,1966,1966,13
The Beatles,We Can Work It Out,110,15,2,1966,1966,11
The Rolling Stones,Get Off Of My Cloud,108,16,1,1965,1966,11
Sonny & Cher,Little Man,108,17,2,1966,1966,8
The Rolling Stones,Paint It Black,95,18,2,1966,1966,9
The Troggs,I Can't Control Myself,92,19,2,1966,1966,8
Tommy James & The Shondells,Hanky Panky,86,20,3,1966,1966,11
"Dave Dee, Dozy, Beaky, Mick & Tich",Hideaway,85,21,3,1966,1966,13
The Rolling Stones,19th Nervous Breakdown / As Tears Go By,79,22,1,1966,1966,11
Los Bravos,Black Is Black,72,23,4,1966,1966,13
Udo Jürgens,Sag mir wie,68,24,4,1966,1966,11
Roy Black,Leg dein Herz in meine Hände,65,25,3,1966,1966,9
The Walker Brothers,The Sun Ain't Gonna Shine Anymore,60,26,4,1966,1966,9
"Dave Dee, Dozy, Beaky, Mick & Tich",Hold Tight!,57,27,4,1966,1966,9
Udo Jürgens,Merci Cherie,55,28,4,1966,1966,11
Udo Jürgens,"Siebzehn Jahr, blondes Haar",53,29,5,1965,1966,9
The Beatles,Michelle,48,30,6,1966,1966,8
The Beatles,Nowhere Man,48,31,3,1966,1966,5
The Spencer Davis Group,Somebody Help Me,48,32,3,1966,1966,4
Marion (Marion März),Er ist wieder da,44,33,6,1965,1966,9
Al Martino,Spanish Eyes,36,34,6,1966,1966,9
Ronny,Dunja du,36,35,5,1966,1966,8
The McCoys,Hang On Sloopy,36,36,5,1965,1966,7
Staff Sergeant Barry Sadler U.S. Army Special Forces,The Ballad Of The Green Berets,36,37,4,1966,1966,5
Freddy (Freddy Quinn),Abschied vom Meer,35,38,5,1965,1966,7
Wencke Myhre,Beiß nicht gleich in jeden Apfel,28,39,6,1966,1966,6
The Troggs,Wild Thing,26,40,7,1966,1966,7
Peter Thomas und das Sound Orchester,Melissa,26,41,4,1966,1966,4
Heidi Brühl,Hundert Mann und ein Befehl (The Ballad Of The Green Beret),24,42,8,1966,1966,7
The Kinks,Dandy,24,43,5,1966,1966,4
The Byrds,Turn! Turn! Turn!,23,44,8,1965,1966,7
The Hollies,Stop Stop Stop,22,45,4,1966,1966,4
The Peels,Juanita Banana,21,46,8,1966,1966,7
Andre Brasseur and his Multi-Sound Organ,Early Bird Satellite,21,47,5,1966,1966,3
Graham Bonney,Supergirl,20,48,8,1966,1966,6
The Kinks,Sunny Afternoon,20,49,7,1966,1966,6
The Spencer Davis Group,Keep On Running,20,50,8,1966,1966,6
Suzie,Ich will immer nur dich,20,51,7,1966,1966,6
Lovin' Spoonful,Summer In The City,20,52,5,1966,1966,5
Donovan,Sunshine Superman,16,53,7,1966,1966,4
Drafi Deutscher,Nimm mich so wie ich bin,16,54,7,1966,1966,4
The Rainbows,Balla Balla,16,55,4,1965,1966,2
Simon & Garfunkel,Sounds Of Silence,14,56,9,1966,1966,6
Peter Alexander,Moderne Romanzen,14,57,8,1966,1966,4
Freddy (Freddy Quinn),Eine Handvoll Reis,12,58,6,1966,1966,2
Barry Mcguire,Eve Of Destruction,12,59,6,1965,1966,2
The Who,My Generation,12,60,6,1966,1966,2
Herman's Hermits,No Milk Today,8,61,8,1966,1966,2
Peter Alexander,Aba Heidschi Bumbeidschi,6,62,10,1966,1966,3
The Rolling Stones,Have You Seen Your Mother Baby Standing In The Shadow,6,63,9,1966,1966,2
The Rolling Stones,Mother's Little Helper,6,64,9,1966,1966,2
The Hollies,Bus Stop,6,65,9,1966,1966,2
The Beatles,Yesterday,6,66,9,1965,1966,2
Manuela & Die 5 Dops,Es ist zum Weinen,6,67,9,1966,1966,2
The Who,I'm A Boy,4,68,10,1966,1966,2
Nancy Sinatra,"How Does That Grab You, Darlin'?",4,69,10,1966,1966,2
Nini Rosso,Il Silenzio (Abschiedsmelodie),4,70,10,1965,1966,2
Scott Mckenzie,San Francisco (Be Sure To Wear Some Flowers In Your Hair),282,1,1,1967,1967,17
Sandie Shaw,Puppet On A String,280,2,1,1967,1967,23
David Garrick,Dear Mrs. Applebee,214,3,1,1967,1967,18
Roy Black,Meine Liebe zu dir,197,4,2,1967,1967,15
The Monkees,I'm A Believer,192,5,1,1967,1967,13
The Rolling Stones,Let's Spend The Night Together,174,6,1,1967,1967,13
Manfred Mann,Ha! Ha! Said The Clown,158,7,1,1967,1967,13
The Beatles,All You Need Is Love,150,8,1,1967,1967,11
Roy Black,Frag nur dein Herz / Goodnight My Love,125,9,4,1966,1967,20
Procol Harum,A Whiter Shade Of Pale,115,10,1,1967,1967,16
The Beatles,Penny Lane,114,11,1,1967,1967,11
The Bee Gees,Massachusetts,112,12,1,1967,1967,8
The Kinks,Dandy,106,13,1,1966,1967,9
The Smoke,My Friend Jack,98,14,2,1967,1967,8
Maurice Jarre,Lara's Theme,97,15,4,1966,1967,19
Herman's Hermits,No Milk Today,97,16,2,1966,1967,11
Keith West,Excerpt From 'A Teenage Opera',94,17,2,1967,1967,8
"Dave Dee, Dozy, Beaky, Mick & Tich",Save Me,94,18,2,1967,1967,8
Dave Davies,Death Of A Clown,90,19,3,1967,1967,11
Whistling Jack Smith,I Was Kaiser Bill's Batman,86,20,4,1967,1967,13
Peter Alexander,Der letzte Walzer (The Last Waltz),80,21,2,1967,1967,8
The Rolling Stones,We Love You,77,22,2,1967,1967,9
"Dave Dee, Dozy, Beaky, Mick & Tich",Okay!,74,23,5,1967,1967,13
Peter Alexander,Verbotene Träume,64,24,4,1967,1967,9
Peggy March,Romeo und Julia,62,25,4,1967,1967,11
Peter Alexander,Moderne Romanzen,60,26,4,1966,1967,11
Peggy March,Memories Of Heidelberg,58,27,5,1967,1967,11
Al Martino,Spanish Eyes,52,28,3,1966,1967,5
The Who,Happy Jack,50,29,4,1967,1967,8
Tom Jones,The Green Green Grass Of Home,46,30,6,1967,1967,10
Nancy & Frank Sinatra,Somethin' Stupid,46,31,4,1967,1967,9
"Dave Dee, Dozy, Beaky, Mick & Tich",Bend It!,45,32,2,1966,1967,5
The Lords,Gloryland,37,33,5,1967,1967,7
Ronny,Adios My Darling,35,34,5,1967,1967,7
The Who,Pictures Of Lily,35,35,5,1967,1967,5
Nancy Sinatra & Lee Hazlewood,Jackson,33,36,8,1967,1967,9
Ronny,Laß die Sonne wieder scheinen,32,37,5,1967,1967,6
Freddy (Freddy Quinn),Morgen beginnt die Welt,29,38,7,1967,1967,9
Esther & Abi Ofarim,Morning Of My Life,28,39,5,1967,1967,4
Graham Bonney,Siebenmeilenstiefel,26,40,7,1967,1967,8
The Hollies,On A Carousel,24,41,8,1967,1967,7
Peter Alexander,Spanisch war die Nacht,23,42,9,1967,1967,9
Roland W.,Monja,20,43,4,1967,1967,4
The Kinks,Dead End Street,20,44,5,1967,1967,4
The Hollies,Carrie Ann,18,45,8,1967,1967,6
The Tremeloes,Silence Is Golden,18,46,8,1967,1967,5
Sonny & Cher,Little Man,18,47,6,1966,1967,5
The Kinks,Waterloo Sunset,18,48,7,1967,1967,4
The Monkees,"A Little Bit Me, A Little Bit You",18,49,7,1967,1967,4
Graham Bonney,Das Girl mit dem La-La-La,17,50,8,1966,1967,5
"Dave Dee, Dozy, Beaky, Mick & Tich",Zabadak,16,51,6,1967,1967,4
"Dave Dee, Dozy, Beaky, Mick & Tich",Touch Me Touch Me,14,52,8,1967,1967,4
The Creation,Painter Man,12,53,8,1967,1967,4
The Beach Boys,Good Vibrations,12,54,8,1966,1967,3
The Beatles,Hello Goodbye,10,55,7,1967,1967,2
The Box Tops,The Letter,10,56,7,1967,1967,2
The Troggs,I Can't Control Myself,8,57,8,1966,1967,2
The Troggs,Give It To Me,6,58,10,1967,1967,3
Wencke Myhre,Komm allein,6,59,9,1967,1967,2
Manuela,Monsieur Dupont,6,60,9,1967,1967,2
Ronny,Dunja du,6,61,9,1966,1967,2
The Bee Gees,New York Mining Desaster 1941,4,62,10,1967,1967,2
Adriano Celentano,Una Festa Sui Prati,4,63,10,1967,1967,2
The Easybeats,Friday On My Mind,4,64,10,1967,1967,2
"Dave Dee, Dozy, Beaky, Mick & Tich",Hard To Love You,4,65,10,1966,1967,2
Tom Jones,Delilah,276,1,1,1968,1968,19
Heintje,Du sollst nicht weinen,270,2,1,1968,1968,29
Tom Jones,Help Yourself,218,3,1,1968,1968,15
Heintje,Mama,197,4,2,1968,1968,22
The Beatles,Hey Jude,171,5,1,1968,1968,13
Heintje,Heidschi Bumbeidschi,150,6,1,1968,1968,9
The Rolling Stones,Jumpin' Jack Flash,124,7,1,1968,1968,13
The Bee Gees,Words,123,8,1,1968,1968,11
The Bee Gees,World,122,9,1,1968,1968,11
The Beatles,Hello Goodbye,122,10,1,1967,1968,10
John Fred and his Playboy Band,Judy In Disguise (With Glasses),122,11,1,1968,1968,9
Peter Alexander,Der letzte Walzer (The Last Waltz),120,12,1,1967,1968,10
The Small Faces,Lazy Sunday,118,13,2,1968,1968,13
Manfred Mann,Mighty Quinn,114,14,1,1968,1968,11
Peter Alexander,Delilah,108,15,3,1968,1968,13
Ohio Express,Yummy Yummy Yummy,103,16,3,1968,1968,13
Mary Hopkin,Those Were The Days,100,17,1,1968,1968,9
The Beatles,Lady Madonna,96,18,2,1968,1968,8
Cliff Richard,Congratulations,82,19,3,1968,1968,9
The Crazy World Of Arthur Brown,Fire,77,20,3,1968,1968,11
Tommy James & The Shondells,Mony Mony,74,21,3,1968,1968,7
The Bee Gees,Massachusetts,74,22,1,1967,1968,6
The Bee Gees,I've Gotta Get A Message To You,72,23,3,1968,1968,9
Roy Black,Bleib' bei mir,64,24,3,1968,1968,9
The Beach Boys,Do It Again,62,25,4,1968,1968,10
Esther & Abi Ofarim,Morning Of My Life,62,26,2,1967,1968,8
Dorthe,Sind sie der Graf von Luxemburg?,59,27,5,1968,1968,11
Roy Black,Ich denk' an dich,57,28,2,1968,1968,5
The Tremeloes,My Little Lady,52,29,3,1968,1968,5
The Bee Gees,Jumbo,49,30,5,1968,1968,7
"Dave Dee, Dozy, Beaky, Mick & Tich",The Legend Of Xanadu,46,31,5,1968,1968,10
Rita Pavone,Arrividerci Hans,42,32,6,1968,1968,9
The Monkees,Daydream Believer,42,33,4,1967,1968,8
The Union Gap feat. Gary Puckett,Young Girl,38,34,6,1968,1968,8
Roland W.,Monja,34,35,7,1967,1968,8
Udo Jürgens,Mathilda,33,36,6,1968,1968,7
The Rolling Stones,Street Fighting Man,28,37,7,1968,1968,8
Esther & Abi Ofarim,Cinderella - Rockefella,28,38,5,1968,1968,6
The Rolling Stones,2000 Light Years From Home / She's A Rainbow,28,39,5,1968,1968,6
1910 Fruitgum Company,Simon Says,27,40,6,1968,1968,7
Engelbert (Engelbert Humperdinck),A Man Without Love,26,41,6,1968,1968,6
Udo Jürgens,Cotton Fields,24,42,5,1968,1968,4
Adamo (Salvatore Adamo),Es geht eine Träne auf Reisen,22,43,6,1968,1968,5
The Box Tops,The Letter,20,44,5,1967,1968,4
Siw Malmkvist,Harlekin,19,45,9,1968,1968,7
The Small Faces,Tin Soldier,19,46,7,1968,1968,5
Bobby Goldsboro,Honey,18,47,8,1968,1968,7
Status Quo,Pictures Of Matchstick Men,18,48,7,1968,1968,6
Peter Alexander,Komm und bedien dich (Gli occhi mei),16,49,9,1968,1968,6
Louis Armstrong,What A Wonderful World,16,50,8,1968,1968,5
Freddy (Freddy Quinn),"Seemann, weit bist du gefahren",16,51,6,1967,1968,4
Graham Bonney,Siebenmeilenstiefel,16,52,6,1967,1968,4
Joe Cocker,With A Little Help From My Friends,15,53,7,1968,1968,3
Renate Kern,Lieber mal weinen im Glück,14,54,10,1968,1968,7
Manfred Mann,My Name Is Jack,14,55,7,1968,1968,4
Leapy Lee,Little Arrows,14,56,5,1968,1968,2
American Breed,"Bend Me, Shape Me",13,57,9,1968,1968,5
Roy Black,Wunderbar ist die Welt,12,58,9,1968,1968,4
Marbles,Only One Woman,12,59,8,1968,1968,3
The Hollies,Jennifer Eccles,8,60,8,1968,1968,2
The Hollies,Dear Eloise,8,61,8,1968,1968,2
Scott Mckenzie,San Francisco (Be Sure To Wear Some Flowers In Your Hair),8,62,8,1967,1968,2
Lemon Pipers,Green Tambourine,6,63,10,1968,1968,3
The Casuals,Jesamine,6,64,9,1968,1968,2
Keith West,Excerpt From 'A Teenage Opera',6,65,9,1967,1968,2
Georgie Fame,The Ballad Of Bonnie And Clyde,6,66,9,1968,1968,2
Dorthe,Wärst du doch in Düsseldorf geblieben,4,67,10,1968,1968,2
Barry Ryan with The Majority,Eloise,198,1,1,1968,1969,17
Peter Alexander,Liebesleid,157,2,1,1969,1969,13
The Archies,"Sugar, Sugar",156,3,1,1969,1969,11
Tommy James & The Shondells,Crimson And Clover,154,4,2,1969,1969,13
Jane Birkin & Serge Gainsbourg,Je T'aime... Moi Non Plus,146,5,3,1969,1969,20
Christian Anders,Geh nicht vorbei,143,6,2,1969,1969,13
Roy Black,Das Mädchen Carina,140,7,1,1969,1969,14
Zager & Evans,In The Year 2525 (Exordium & Terminus),136,8,1,1969,1969,10
The Beatles,The Ballad Of John And Yoko,132,9,1,1969,1969,9
The Edwin Hawkins Singers,"Oh, Happy Day",124,10,1,1969,1969,11
The Beatles & Billy Preston,Get Back,123,11,1,1969,1969,11
Heintje,Heidschi Bumbeidschi,120,12,1,1968,1969,8
Elvis Presley,In The Ghetto,119,13,1,1969,1969,13
Donovan,Atlantis,119,14,2,1969,1969,11
The Beatles,Ob-la-di Ob-la-da,118,15,1,1969,1969,9
Michael Holm,Mendocino,110,16,3,1969,1969,20
The Rolling Stones,Honky Tonk Women,108,17,2,1969,1969,9
Shocking Blue,Venus,106,18,2,1969,1969,9
Heintje,Ich sing' ein Lied für dich,105,19,1,1969,1969,9
Desmond Dekker & The Aces,Israelites,104,20,1,1969,1969,9
Sir Douglas Quintett,Mendocino,97,21,2,1969,1969,15
Adamo (Salvatore Adamo),Es geht eine Träne auf Reisen,80,22,2,1968,1969,10
The 5Th Dimension,Aquarius / Let The Sunshinshine In (Medley),66,23,2,1969,1969,11
The Beatles,Come Together / Something,66,24,1,1969,1969,7
The Bee Gees,First Of May,64,25,3,1969,1969,8
Robin Gibb,Saved By The Bell,62,26,3,1969,1969,8
The Tremeloes,My Little Lady,58,27,3,1968,1969,8
Udo Jürgens,Anuschka,57,28,6,1969,1969,11
Tommy Roe,Dizzy,57,29,4,1969,1969,11
Creedence Clearwater Revival (CCR),Proud Mary,54,30,4,1969,1969,11
Roy Black,Ich denk' an dich,52,31,4,1968,1969,8
Chris Andrews,Pretty Belinda,49,32,5,1969,1969,13
Barry Ryan with The Majority,Love Is Love,48,33,4,1969,1969,8
The Marmalade,"Ob-La-Di, Ob-La-Da",44,34,2,1969,1969,6
Heintje,Scheiden tut so weh,42,35,4,1969,1969,7
Mireille Mathieu,Hinter den Kulissen von Paris,42,36,5,1969,1969,7
The Plastic Ono Band,Give Peace A Chance,42,37,4,1969,1969,6
Roy Black,Dein schönstes Geschenk,40,38,3,1969,1969,4
Wencke Myhre,Er steht im Tor,36,39,4,1969,1969,5
Lulu,I'm A Tiger,32,40,4,1969,1969,4
Joe Cocker,With A Little Help From My Friends,32,41,3,1968,1969,4
Manfred Mann,Fox On The Run,31,42,7,1969,1969,7
Udo Jürgens,Es wird Nacht Senorita,30,43,6,1969,1969,7
The Move,Blackberry Way,25,44,7,1969,1969,7
Marbles,Only One Woman,24,45,6,1968,1969,6
The Bee Gees feat. Barry & Maurice Gibb,Tomorrow Tomorrow,24,46,6,1969,1969,5
The Beatles,Hey Jude,22,47,7,1968,1969,6
Ronny,Er war nur ein armer Zigeuner,21,48,5,1969,1969,3
Die Flippers,Weine nicht kleine Eva,18,49,8,1969,1969,5
Fleetwood Mac,Oh Well,18,50,5,1969,1969,4
Herman's Hermits,Something's Happening,18,51,6,1969,1969,3
Creedence Clearwater Revival (CCR),Green River,17,52,8,1969,1969,5
The Equals,Michael And The Slipper Tree,14,53,7,1969,1969,4
The Scaffold,Lily The Pink,14,54,5,1969,1969,2
Udo Jürgens,Mathilda,12,55,8,1968,1969,4
Adriano Celentano,Azzurro,12,56,6,1968,1969,2
The Equals,"Softly, Softly",12,57,6,1968,1969,2
The Bee Gees,Don't Forget To Remember,10,58,9,1969,1969,4
The Hollies,Sorry Suzanne,10,59,7,1969,1969,2
The Equals,Green Light,10,60,7,1969,1969,2
Ohio Express,Chewy Chewy,10,61,7,1968,1969,2
Creedence Clearwater Revival (CCR),Bad Moon Rising,8,62,8,1969,1969,2
Lulu,Boom Bang-A-Bang,8,63,8,1969,1969,2
Rex Gildo,Dondolo,6,64,10,1969,1969,3
The Hollies,He Ain't Heavy - He's My Brother,6,65,9,1969,1969,2
Peter Sarstedt,Where Do You Go To My Lovely,6,66,9,1969,1969,2
Tom Jones,A Minute Of Your Time,6,67,9,1968,1969,2
Karel Gott,Weißt du wohin?,6,68,9,1967,1969,2
The Tremeloes,(Call Me) Number One,4,69,10,1969,1969,2
Roberto Blanco,"Heute so, morgen so",4,70,10,1969,1969,2
Mary Hopkin,Those Were The Days,4,71,10,1968,1969,2
Jacqueline Boyer,Mucho Amore,4,72,10,1969,1969,2
Karel Gott,Lady Carneval,4,73,10,1969,1969,2
Wilma,"Heintje, baue ein Schloß für mich",4,74,10,1969,1969,2
Miguel Rios,A Song Of Joy,312,1,1,1970,1970,23
Simon & Garfunkel,El condor pasa,295,2,1,1970,1970,24
Mungo Jerry,In The Summertime,216,3,1,1970,1970,15
Soulful Dynamics,Mademoiselle Ninette,212,4,1,1970,1970,20
Led Zeppelin,Whole Lotta Love,193,5,1,1970,1970,14
Roy Black,Dein schönstes Geschenk,175,6,1,1969,1970,13
Christie,Yellow River,142,7,2,1970,1970,15
The Beatles,Let It Be,138,8,2,1970,1970,13
Creedence Clearwater Revival (CCR),Down On The Corner,138,9,2,1970,1970,11
Frijid Pink,House Of The Rising Sun,134,10,1,1970,1970,11
Deep Purple,Black Night,131,11,2,1970,1970,14
Peter Maffay,Du,127,12,1,1970,1970,17
Black Sabbath,Paranoid,124,13,1,1970,1970,10
The Kinks,Lola,118,14,2,1970,1970,13
Simon & Garfunkel,Cecilia,110,15,2,1970,1970,13
Creedence Clearwater Revival (CCR),Lookin' Out My Back Door,99,16,2,1970,1970,15
Creedence Clearwater Revival (CCR),Up Around The Bend,99,17,3,1970,1970,13
The Archies,"Sugar, Sugar",86,18,2,1969,1970,8
Hotlegs,Neanderthal Man,79,19,4,1970,1970,13
Norman Greenbaum,Spirit In The Sky,76,20,1,1970,1970,10
Simon & Garfunkel,Bridge Over Troubled Water,68,21,3,1970,1970,9
The Tremeloes,(Call Me) Number One,64,22,3,1969,1970,8
Michael Holm,Mendocino,60,23,3,1969,1970,10
Free,All Right Now,59,24,5,1970,1970,11
Daliah Lavi,"Oh, wann kommst du?",57,25,4,1970,1970,10
The Beatles,Come Together / Something,52,26,3,1969,1970,6
Die Minstrels,"Grüezi wohl, Frau Stirnimaa!",49,27,3,1970,1970,7
Peter Maffay,Du bist anders,45,28,5,1970,1970,9
Howard Carpendale,Das schöne Mädchen von Seite 1,44,29,6,1970,1970,9
Dana,All Kinds Of Everything,42,30,4,1970,1970,7
Shocking Blue,Venus,40,31,3,1969,1970,4
Rattles,The Witch,38,32,4,1970,1970,8
Canned Heat,Let's Work Together,38,33,6,1970,1970,7
Creedence Clearwater Revival (CCR),Travelin' Band,36,34,4,1970,1970,6
Michael Holm,Barfuß im Regen,34,35,6,1970,1970,9
The Guess Who,American Woman,34,36,6,1970,1970,8
Steam,Na Na Hey Hey Kiss Him Goodbye,34,37,5,1970,1970,6
The Bee Gees feat. Barry & Maurice Gibb,I-O-I-O,32,38,6,1970,1970,9
Mr. Bloe,Groovin' With Mr. Bloe,30,39,7,1970,1970,7
The Equals,Rub A Dub Dub,30,40,4,1970,1970,5
Shocking Blue,Mighty Joe,29,41,5,1970,1970,5
Chris Roberts,Ein Mädchen nach Maß,22,42,5,1970,1970,4
Peter Alexander,Oh Lady Mary,20,43,5,1970,1970,5
The Tremeloes,Me And My Life,20,44,6,1970,1970,4
Chris Roberts,Die Maschen der Mädchen,18,45,8,1969,1970,5
The Tee-Set,Ma Belle Amie,17,46,8,1970,1970,5
Christian Anders,Geh nicht vorbei,16,47,7,1969,1970,4
Bata Illic,Candida,16,48,4,1970,1970,3
Peter Alexander,Hier ist ein Mensch,15,49,2,1970,1970,1
The Archies,Jingle Jangle,14,50,7,1970,1970,4
Fleetwood Mac,Oh Well,14,51,8,1969,1970,4
The Moody Blues,Question,13,52,9,1970,1970,5
Adamo (Salvatore Adamo),Ein kleines Glück,12,53,6,1970,1970,2
Ten Years After,Love Like A Man,10,54,9,1970,1970,4
Elvis Presley,Suspicious Minds,10,55,7,1969,1970,2
Christie,San Bernadino,10,56,7,1970,1970,2
Sir Douglas Quintett,Dynamite Woman,10,57,7,1969,1970,2
Chicago,I'm A Man (Part 1),8,58,10,1970,1970,4
Edison Lighthouse,Love Grows (Where My Rosemary Goes),8,59,8,1970,1970,2
Karel Gott,Was damals war,8,60,8,1969,1970,2
Michael Holm,Wie der Sonnenschein (Shalala Oh Oh),7,61,9,1970,1970,3
Chris Roberts,Ich bin verliebt in die Liebe,7,62,5,1970,1970,1
Desmond Dekker,You Can Get It If You Really Want,6,63,9,1970,1970,2
Edwin Starr,War,6,64,9,1970,1970,2
Facio Santillan,El condor pasa,6,65,9,1970,1970,2
Mary Roos,Arizona Man,6,66,9,1970,1970,2
Udo Jürgens,Anuschka,6,67,9,1969,1970,2
Die Flippers,"Sha La La, I Love You",6,68,9,1970,1970,2
Barry Ryan,Kitsch,4,69,10,1970,1970,2
Creedence Clearwater Revival (CCR),Fortunate Son,4,70,10,1969,1970,2
Neil Diamond,Cracklin' Rosie,2,71,10,1970,1970,1
Danyel Gerard,Butterfly,424,1,1,1971,1971,29
Middle Of The Road,Chirpy Chirpy Cheep Cheep,235,2,2,1971,1971,20
Sweet,Co-Co,230,3,1,1971,1971,17
George Harrison,My Sweet Lord,226,4,1,1971,1971,16
Lynn Anderson,Rose Garden,197,5,1,1971,1971,17
Creedence Clearwater Revival (CCR),Hey Tonight,188,6,1,1971,1971,16
Peter Alexander,Hier ist ein Mensch,175,7,2,1970,1971,16
Pop Tops,Mamy Blue,140,8,1,1971,1971,9
T.Rex,Hot Love,137,9,3,1971,1971,17
Peret,Borriquito...,134,10,1,1971,1971,14
Ulli Martin,Monika,125,11,2,1971,1971,14
Miguel Rios,A Song Of Joy,124,12,1,1970,1971,10
Roy Black,Für dich allein (Du kannst nicht alles haben),111,13,2,1970,1971,17
Roy Black & Anita,Schön ist es auf der Welt zu sein,109,14,2,1971,1971,13
Neil Diamond,I Am - I Said,108,15,3,1971,1971,17
Chris Roberts,Ich bin verliebt in die Liebe,104,16,3,1970,1971,13
Wolfgang,Abraham (Das Lied vom Trödler),95,17,3,1971,1971,13
George Harrison,What Is Life,86,18,3,1971,1971,12
Dawn,Knock Three Times,85,19,2,1971,1971,10
T.Rex,Get It On,79,20,3,1971,1971,11
Middle Of The Road,Soley Soley,78,21,2,1971,1971,6
Dave Edmunds,I Hear You Knocking,74,22,3,1971,1971,11
Heintje,"Schneeglöckchen im Februar, Goldregen im Mai",63,23,4,1971,1971,12
Tony Marshall,Schöne Maid,61,24,5,1971,1971,13
The Rolling Stones,Brown Sugar,60,25,4,1971,1971,11
Chris Roberts,"Hab' ich dir heute schon gesagt, daß ich dich liebe",50,26,3,1971,1971,8
